address,eth_balance
0x7bbfaa2f8b2d2a613b4439be3428dfbf0f405390,1.8208006357772622e+23
0x5b5b69f4e0add2df5d2176d7dbd20b4897bc7ec4,1.6903200334848787e+23
0x2f2d854c1d6d5bb8936bb85bc07c28ebb42c9b10,1.6863497225832627e+23
0x109be9d7d5f64c8c391ced3a8f69bdef20fcaea9,1.5674633377829356e+23
0xa023f08c70a23abc7edfc5b6b5e171d78dfc947e,1.5015792082472691e+23
0x28c6c06298d514db089934071355e5743bf21d60,1.4646707936037514e+23
0xc882b111a75c0c657fc507c04fbfcd2cc984f071,1.4615396554730875e+23
0xb5ab08d153218c1a6a5318b14eeb92df0fb168d6,1.3528367704831947e+23
0x8484ef722627bf18ca5ae6bcf031c23e6e922b30,1.3320109948693656e+23
0xd47b4a4c6207b1ee0eb1dd4e5c46a19b50fec00b,1.2939227137821546e+23
0xd65fb7d4cb595833e84c3c094bd4779bab0d4c62,1.2939217187350623e+23
0xa160cdab225685da1d56aa342ad8841c3b53f291,1.269e+23
0x59708733fbbf64378d9293ec56b977c011a08fd2,1.2435541799834724e+23
0x79f67f689b9925710d4dda2a39d680e9cea61c81,1.2119818311062534e+23
0x368d43c23843ca9b49dc861d80251bda6a090367,1.2070773001571577e+23
0x2d1566722288be5525b548a642c98b546f116aa0,1.207077108587871e+23
0xb4f4317b7885de16305d1303570879c21f378255,1.2070771083586654e+23
0x84bf16e7675cee22d0e0302913ccf58b45333ddf,1.207077108327971e+23
0x6d9d2b30df394f17a5058aceb9a4d3446f1bc042,1.2070771082903127e+23
0xf443864ba5d5361bbc54298551067194f980a635,1.2070771082467089e+23
0x308861a430be4cce5502d0a12724771fc6daf216,1.2069212777949538e+23
0xa1a45e91164cdab8fa596809a9b24f8d4fdbe0f3,1.160050134787535e+23
0x6c6d0af3b2059247530972834b9348f6d7c7ce13,1.1524631954466667e+23
0x376c3e5547c68bc26240d8dcc6729fff665a4448,1.1493900003400779e+23
0x084ef8564b4f75a70b7ad5e8aabf73edac005397,1.0854404485471535e+23
0xcac9c634b4464efe71a9a5910edba06686baf457,1.0853291754513169e+23
0x04b7f4195595d8132dd8249cc8dc7e79a6ae772b,1.0853291742692869e+23
0xff2ac8c5834a7585fcc97edb8ba2431c4beab487,1.0853291734813169e+23
0x4ed97d6470f5121a8e02498ea37a50987da0eec0,1.0853291734428169e+23
0x6e414cfad874d8ee716ea0299d40011207c907b8,1.0820526715266269e+23
0x19bf56fca395a600c20f732b05757f30ad24a719,1.082052670412477e+23
0xfcd159d0fef5b1003e10d91a5b79d52bbb8cd05d,1.0805442516187166e+23
0x8ae880b5d35305da48b63ce3e52b22d17859f293,1.0770824518375488e+23
0xa463597d49f54fe6a811fb894cbd67c7f92852b0,1.0768626660961796e+23
0x5a710a3cdf2af218740384c52a10852d8870626a,1.0714116847134816e+23
0xbed96d0840201011df1467379a5d311e0040073a,1.0374476022722512e+23
0xd19d4b5d358258f05d7b411e21a1460d11b0876f,1.0333436423688828e+23
0x4eac9ce57af61a6fb1f61f0bf1d8586412be30bc,1.0200299540156855e+23
0x67f706db3bbd04a250eed049386c5d09c4ee31f0,1.0078424822549882e+23
0x999e77c988c4c1451d3b1c104a6cca7813a9946e,1.0025150538682171e+23
0xd9858d573a26bca124282afa21ca4f4a06eff98a,1.0017966844330843e+23
0x4fdd5eb2fb260149a3903859043e962ab89d8ed4,1.0011689053760086e+23
0x9e927c02c9eadae63f5efb0dd818943c7262fb8e,1.0008844322124213e+23
0xd8d98ee915a5a4f52c40d97fcd8ffadea1ee8604,1.0000014643177171e+23
0x40f50e8352d64af0ddda6ad6c94b5774884687c3,1.0000000116992539e+23
0x2d89034424db22c9c555f14692a181b22b17e42c,1.000000007547395e+23
0x303c741bb15c9c4b1c72320f6df702b32da80519,9.8770465403721866e+22
0xe9a5a2acfa9bee149ed28fcbf12b60ff2ad97efb,9.87704643745228e+22
0xe93fc974908003faddf0bd972b05b6494368d3f5,9.87704643446228e+22
0x36b6751586614d647d8a3f495e82bdcf250914c8,9.8770463824599528e+22
0xdf9eb223bafbe5c5271415c75aecd68c21fe3d7f,9.8112058364721157e+22
0x28140cb1ac771d4add91ee23788e50249c10263d,9.7634066518119161e+22
0xbed1eb542f9a5aa6419ff3deb921a372681111f6,9.64084083394435e+22
0x3727cfcbd85390bb11b3ff421878123adb866be8,9.6216440750937945e+22
0xc56fefd1028b0534bfadcdb580d3519b5586246e,9.526326327531e+22
0xf196c023de1f19d6529133759f449c4b01ce0f51,9.4923811740773509e+22
0x86a6a0080b1a4c9390416cf73ffb02738d94f8d6,9.3032097034531221e+22
0x9030dcb01830eaa3d8ba285a824a05d8fb489ad0,9.2228152533966618e+22
0x807cc0e799dcc651d94595e1f7f6e7373ef8f96a,9.06452380935863e+22
0xa580e49df5d054d69cf1b2ef4af847c6e6f64d30,9.00001456288594e+22
0x9b07c94f1d39d24b68da8ff7c78adb8b70238a75,9.0000145432380285e+22
0x22a54a1eb8c573bbf845dd1ff64c8df05502c1b0,9.0000145308295744e+22
0xda29accfb77995bef70bcf6478a73e9acb07732d,9.0000145289173677e+22
0xf29c6705f188526e0029a92ee6bc21ebc750b675,9.0000145250817841e+22
0x03d615c04be905790dbef2df0472a2e901ccd810,9.00001451051571e+22
0x5d71f4d4f6048112a3b21433fbcfba5f1f39549f,9.0000135669388455e+22
0x6fb8ebc19bc2a9fa4413ba6a0ca6fa99e974b461,8.9854998130379956e+22
0xae0ee0a63a2ce6baeeffe56e7714fb4efe48d419,8.9484874619350753e+22
0x6969d381bb7c775f6393bde4b69ed1afbbf7780a,8.7743494391891713e+22
0xbddf00563c9abd25b576017f08c46982012f12be,8.7206019924641639e+22
0x1bb762b16438f8b287626fd1042bc6f6848cc286,8.6481015790925538e+22
0x0ef3794802b55bc4464114c3df550430b53a3506,8.6028211718021035e+22
0xad0d53cf033ab63dc72d653640766ee1d366cef6,8.5968121549322055e+22
0xac08f21ef597a51865d69896f09b52472acde80d,8.5968121341902045e+22
0x6586ce3d543e0c57b347f0c3b9eeed2f132c104f,8.4999995490446539e+22
0x3f4ac8d3e1414b5351e632391908177c012c65cc,8.4642407564837225e+22
0xb3764761e297d6f121e79c32a65829cd1ddb4d32,8.3017212279259513e+22
0xbf4ed7b27f1d666546e30d74d50d173d20bca754,8.2330034742653037e+22
0xb46427e2cddecb0bde40bf402361effddd4401e2,8.1444258330315548e+22
0xddfa14b51e25ea8ea16d854cd4de263ad4e04f6e,8.0868140663991666e+22
0x0f3a1bfd2a873c36bae8a7d442247fe4b8b88a69,8.0849342112985e+22
0x2fd56159f4c8664a1de5c75e430338cfa58cd5b9,8.0673987701965341e+22
0xc39cc669a548c661dfa6b5a1eeaa389d1ec53143,8.0000000432683545e+22
0x918fa381cb534677bad24afb29cb3c2acaf16385,7.9340381668841439e+22
0xd2b0b1daed605718080f861034d3241f1cfd89cb,7.9122430292725552e+22
0xfdfeb7474b6b104f32599948bb7f8ed81b06def3,7.773585125516414e+22
0x1430c9ebed1060ab0dd63a768e4be0d8ea9a85c6,7.7067659818859888e+22
0xc54cb22944f2be476e02decfcd7e3e7d3e15a8fb,7.57485132277213e+22
0xb0a27099582833c0cb8c7a0565759ff145113d64,7.51725799438171e+22
0x831c3720681096f276cb016b51a33433d7cb2faa,7.465855994240115e+22
0x0a8f6257ef3ed3efdd8dd18dd9294d3e333ad7fc,7.4658559912886177e+22
0x7ced76dde9203a554df01cbb1ed0d17e9bce7524,7.4658559896400179e+22
0x10cad69cbd241d36ed8c6d83a9f30b380134d1bc,7.4658559887686177e+22
0x92f71d08f5ee94a7bf40fab05beda3545b55ad2a,7.4658559886886173e+22
0x6b2069bde6b87d0f882abbdc6eb4fcbd0a90bb96,7.4658559878886175e+22
0x1b7b5b4bed048d86976d7cf51d9c4ea24e20ade7,7.4658559878886175e+22
0xb3177d9873b7ac246874114d8760e66dc5e797cc,7.4658559878886175e+22
0xcffad3200574698b78f32232aa9d63eabd290703,7.255917453266845e+22
0x9aabd298b30d034f8c64f86aa25fc74b9f70930f,7.2013494600252883e+22
0xe27f62b70ab44d7fd1842dce66138a31940fa29a,7.1365781421116317e+22
0x76ec5a0d3632b2133d9f1980903305b62678fbd3,7.1278323927545836e+22
0x755cdba6ae4f479f7164792b318b2a06c759833b,7.0678421663279735e+22
0x48c3ff4faba735e659beb7bf3e1ff65a159928ae,7.0010160046240369e+22
0x24c16c998a1d0966a0a9ec2787f82d1d324b6263,7.0010120046240369e+22
0x3fd6b1e25200fdda352cbc911ffcd4308895a7d0,6.766636659553516e+22
0xd65d71e5ecccfcf72b84cad65370626e048d1b33,6.7666365705819733e+22
0x4e5fab20b7b83c6f557b20c820883eab0a0b343b,6.7666365695819732e+22
0x1f72b240b6fffceba07bdaa097cc7b216a643a0f,6.7666365695819732e+22
0x54cee0ef273d3d08ed120b0c561c0284a4c4490e,6.7560200655186008e+22
0xecef66258cc21cb742ac34c68375b311fd3f34cc,6.7491710364271642e+22
0x92cf9066c657b1f63a7a2dc37255b31be6ef1858,6.7395886108069268e+22
0xc4d5b7c576edfbac20fa081cff79ec745193e207,6.7372261204709146e+22
0xd548dd6ccc7a563346372fa0d8cef06e1683b0e3,6.7372261191049145e+22
0xcaaad25746a0e04a3c7eff86422991b00fd3d76a,6.7372252302892e+22
0x1e143b2588705dfea63a17f2032ca123df995ce0,6.7317257715981048e+22
0x4920f22b632bfaa40af8d39c31d9607809485952,6.7312713027122188e+22
0x5126ec2d8834b63a962fc471e2a6b12641454fe8,6.62468395500586e+22
0x1e2fcfd26d36183f1a5d90f0e6296915b02bcb40,6.6004180450224864e+22
0xf197c6f2ac14d25ee2789a73e4847732c7f16bc9,6.5020462254060533e+22
0x282edab8a933bc1c02649fe3ea2842ecbe9928a7,6.500610081543765e+22
0x8696e84ab5e78983f2456bcb5c199eea9648c8c2,6.437678922898201e+22
0xec6a76e74b9a5ad49eda0aa63b91c2c53cb65a9c,6.3734301812173845e+22
0x1e547eb395ac9c3ec41704ba85777dbcdd359de5,6.3542950305618184e+22
0x43684d03d81d3a4c70da68febdd61029d426f042,6.3426620814920333e+22
0x3bc643a841915a267ee067b580bd802a66001c1d,6.2314534349567112e+22
0xa9ac43f5b5e38155a288d1a01d2cbc4478e14573,6.18715916453457e+22
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,6.169082914970367e+22
0x28cc933fecf280e720299b1258e8680355d8841f,6.1628662084676862e+22
0x26648eb66f11fe2e9d7b874981e8eefe6567b9df,6.115877629164113e+22
0x7ac0d327c18dc46f603e127b89db0a5b749dc069,6.0944048583814075e+22
0x8c1fe06904a6e642b1e8c66b3ee7fac83cc46873,6.0330847719030765e+22
0xd6216fc19db775df9774a6e33526131da7d19a2c,6.01343446504749e+22
0xe913f7c3cfd476bd71243da9923bc40a708aacec,5.9918510204444714e+22
0x52e86988bd07447c596e9b0c7765f8500113104c,5.980771069350018e+22
0xb203e1170a30e68dc5b20aac08aa42619842c79e,5.953543558598e+22
0x1342a001544b8b7ae4a5d374e33114c66d78bd5f,5.949141005214554e+22
0xd4914762f9bd566bd0882b71af5439c0476d2ff6,5.9480510049505541e+22
0x5bcd25b6e044b97dfc941b9ec4b617ec10e1abcd,5.9330380017259478e+22
0xa43d2e05ed00c040c8422a88cb8ede921a539f92,5.9013140231905543e+22
0x998a7fd73446cd6532bf3058a270581730b27137,5.8938037012938743e+22
0xb10edd6fa6067dba8d4326f1c8f0d1c791594f13,5.8435757482902515e+22
0x8c3389616404fda275cfdba0c7b0b3d1fee9ebdc,5.7624535284065543e+22
0x0cd2e58d93160773e98dba2d10f0e1f8bdd65959,5.726900293929916e+22
